x,f
0.000000,0.000000
0.001667,0.000000
0.003333,0.000000
0.005000,0.000000
0.006667,0.000000
0.008333,0.000000
0.010000,0.000000
0.011667,0.000000
0.013333,0.000000
0.015000,0.000000
0.016667,0.000000
0.018333,0.000000
0.020000,0.000000
0.021667,0.000000
0.023333,0.000000
0.025000,0.000000
0.026667,0.000000
0.028333,0.000000
0.030000,0.000000
0.031667,0.000000
0.033333,0.000000
0.035000,0.000000
0.036667,0.000000
0.038333,0.000000
0.040000,0.000000
0.041667,0.000000
0.043333,0.000000
0.045000,0.000000
0.046667,0.000000
0.048333,0.000000
0.050000,0.000000
0.051667,0.000000
0.053333,0.000000
0.055000,0.000000
0.056667,0.000000
0.058333,0.000000
0.060000,0.000000
0.061667,0.000000
0.063333,0.000000
0.065000,0.000000
0.066667,0.000000
0.068333,0.000000
0.070000,0.000000
0.071667,0.000000
0.073333,0.000000
0.075000,0.000000
0.076667,0.000000
0.078333,0.000000
0.080000,0.000000
0.081667,0.000000
0.083333,0.000000
0.085000,0.000000
0.086667,0.000000
0.088333,0.000000
0.090000,0.000000
0.091667,0.000000
0.093333,0.000000
0.095000,0.000000
0.096667,0.000000
0.098333,0.000000
0.100000,0.000000
0.101667,0.000000
0.103333,0.000000
0.105000,0.000000
0.106667,0.000000
0.108333,0.000000
0.110000,0.000000
0.111667,0.000000
0.113333,0.000000
0.115000,0.000000
0.116667,0.000000
0.118333,0.000000
0.120000,0.000000
0.121667,0.000000
0.123333,0.000000
0.125000,0.000000
0.126667,0.000000
0.128333,0.000000
0.130000,0.000000
0.131667,0.000000
0.133333,0.000000
0.135000,0.000000
0.136667,0.000000
0.138333,0.000000
0.140000,0.000000
0.141667,0.000000
0.143333,0.000000
0.145000,0.000000
0.146667,0.000000
0.148333,0.000000
0.150000,0.000000
0.151667,0.000000
0.153333,0.000000
0.155000,0.000000
0.156667,0.000000
0.158333,0.000000
0.160000,0.000000
0.161667,0.000000
0.163333,0.000000
0.165000,0.000000
0.166667,0.000000
0.168333,0.000000
0.170000,0.000000
0.171667,0.000000
0.173333,0.000000
0.175000,0.000000
0.176667,0.000000
0.178333,0.000000
0.180000,0.000000
0.181667,0.000000
0.183333,0.000001
0.185000,0.000001
0.186667,0.000002
0.188333,0.000004
0.190000,0.000006
0.191667,0.000011
0.193333,0.000018
0.195000,0.000030
0.196667,0.000048
0.198333,0.000076
0.200000,0.000119
0.201667,0.000181
0.203333,0.000270
0.205000,0.000396
0.206667,0.000572
0.208333,0.000813
0.210000,0.001136
0.211667,0.001564
0.213333,0.002121
0.215000,0.002837
0.216667,0.003742
0.218333,0.004873
0.220000,0.006265
0.221667,0.007960
0.223333,0.009996
0.225000,0.012416
0.226667,0.015259
0.228333,0.018567
0.230000,0.022377
0.231667,0.026724
0.233333,0.031640
0.235000,0.037153
0.236667,0.043288
0.238333,0.050064
0.240000,0.057496
0.241667,0.065596
0.243333,0.074369
0.245000,0.083818
0.246667,0.093940
0.248333,0.104731
0.250000,0.116180
0.251667,0.128277
0.253333,0.141006
0.255000,0.154350
0.256667,0.168289
0.258333,0.182802
0.260000,0.197865
0.261667,0.213455
0.263333,0.229544
0.265000,0.246105
0.266667,0.263111
0.268333,0.280531
0.270000,0.298335
0.271667,0.316493
0.273333,0.334972
0.275000,0.353741
0.276667,0.372766
0.278333,0.392014
0.280000,0.411452
0.281667,0.431045
0.283333,0.450759
0.285000,0.470559
0.286667,0.490411
0.288333,0.510279
0.290000,0.530130
0.291667,0.549928
0.293333,0.569638
0.295000,0.589226
0.296667,0.608658
0.298333,0.627899
0.300000,0.646915
0.301667,0.665674
0.303333,0.684142
0.305000,0.702287
0.306667,0.720077
0.308333,0.737481
0.310000,0.754469
0.311667,0.771010
0.313333,0.787076
0.315000,0.802638
0.316667,0.817669
0.318333,0.832142
0.320000,0.846034
0.321667,0.859318
0.323333,0.871971
0.325000,0.883972
0.326667,0.895300
0.328333,0.905934
0.330000,0.915856
0.331667,0.925048
0.333333,0.933494
0.335000,0.941181
0.336667,0.948093
0.338333,0.954219
0.340000,0.959548
0.341667,0.964071
0.343333,0.967780
0.345000,0.970668
0.346667,0.972730
0.348333,0.973963
0.350000,0.974365
0.351667,0.973935
0.353333,0.972673
0.355000,0.970581
0.356667,0.967665
0.358333,0.963927
0.360000,0.959376
0.361667,0.954019
0.363333,0.947866
0.365000,0.940926
0.366667,0.933214
0.368333,0.924741
0.370000,0.915523
0.371667,0.905576
0.373333,0.894918
0.375000,0.883567
0.376667,0.871542
0.378333,0.858866
0.380000,0.845561
0.381667,0.831649
0.383333,0.817156
0.385000,0.802106
0.386667,0.786526
0.388333,0.770443
0.390000,0.753886
0.391667,0.736884
0.393333,0.719466
0.395000,0.701663
0.396667,0.683506
0.398333,0.665027
0.400000,0.646259
0.401667,0.627234
0.403333,0.607986
0.405000,0.588548
0.406667,0.568955
0.408333,0.549241
0.410000,0.529441
0.411667,0.509589
0.413333,0.489721
0.415000,0.469870
0.416667,0.450072
0.418333,0.430362
0.420000,0.410774
0.421667,0.391342
0.423333,0.372101
0.425000,0.353085
0.426667,0.334326
0.428333,0.315858
0.430000,0.297713
0.431667,0.279922
0.433333,0.262518
0.435000,0.245530
0.436667,0.228988
0.438333,0.212921
0.440000,0.197356
0.441667,0.182321
0.443333,0.167839
0.445000,0.153937
0.446667,0.140634
0.448333,0.127952
0.450000,0.115909
0.451667,0.104520
0.453333,0.093796
0.455000,0.083748
0.456667,0.074380
0.458333,0.065693
0.460000,0.057683
0.461667,0.050343
0.463333,0.043660
0.465000,0.037615
0.466667,0.032187
0.468333,0.027348
0.470000,0.023067
0.471667,0.019310
0.473333,0.016041
0.475000,0.013219
0.476667,0.010806
0.478333,0.008760
0.480000,0.007042
0.481667,0.005612
0.483333,0.004433
0.485000,0.003471
0.486667,0.002693
0.488333,0.002071
0.490000,0.001577
0.491667,0.001191
0.493333,0.000890
0.495000,0.000659
0.496667,0.000484
0.498333,0.000352
0.500000,0.000253
0.501667,0.000180
0.503333,0.000127
0.505000,0.000089
0.506667,0.000062
0.508333,0.000042
0.510000,0.000029
0.511667,0.000019
0.513333,0.000013
0.515000,0.000009
0.516667,0.000006
0.518333,0.000004
0.520000,0.000002
0.521667,0.000001
0.523333,0.000001
0.525000,0.000001
0.526667,0.000000
0.528333,0.000000
0.530000,0.000000
0.531667,0.000000
0.533333,0.000000
0.535000,0.000000
0.536667,0.000000
0.538333,0.000000
0.540000,0.000000
0.541667,0.000000
0.543333,0.000000
0.545000,0.000000
0.546667,0.000000
0.548333,0.000000
0.550000,0.000000
0.551667,0.000000
0.553333,0.000000
0.555000,0.000000
0.556667,0.000000
0.558333,0.000000
0.560000,0.000000
0.561667,0.000000
0.563333,0.000000
0.565000,0.000000
0.566667,0.000000
0.568333,0.000000
0.570000,0.000000
0.571667,0.000000
0.573333,0.000000
0.575000,0.000000
0.576667,0.000000
0.578333,0.000000
0.580000,0.000000
0.581667,0.000000
0.583333,0.000000
0.585000,0.000000
0.586667,0.000000
0.588333,0.000000
