x,f
0.000000,0.000000
0.001667,0.000000
0.003333,0.000000
0.005000,0.000000
0.006667,0.000000
0.008333,0.000000
0.010000,0.000000
0.011667,0.000000
0.013333,0.000000
0.015000,0.000000
0.016667,0.000000
0.018333,0.000000
0.020000,0.000000
0.021667,0.000000
0.023333,0.000000
0.025000,0.000000
0.026667,0.000000
0.028333,0.000000
0.030000,0.000000
0.031667,0.000000
0.033333,0.000000
0.035000,0.000000
0.036667,0.000000
0.038333,0.000000
0.040000,0.000000
0.041667,0.000000
0.043333,0.000000
0.045000,0.000000
0.046667,0.000000
0.048333,0.000000
0.050000,0.000000
0.051667,0.000000
0.053333,0.000000
0.055000,0.000000
0.056667,0.000000
0.058333,0.000000
0.060000,0.000000
0.061667,0.000000
0.063333,0.000000
0.065000,0.000000
0.066667,0.000000
0.068333,0.000000
0.070000,0.000000
0.071667,0.000000
0.073333,0.000000
0.075000,0.000000
0.076667,0.000000
0.078333,0.000000
0.080000,0.000000
0.081667,0.000000
0.083333,0.000000
0.085000,0.000000
0.086667,0.000000
0.088333,0.000000
0.090000,0.000000
0.091667,0.000000
0.093333,0.000000
0.095000,0.000000
0.096667,0.000000
0.098333,0.000000
0.100000,0.000000
0.101667,0.000000
0.103333,0.000000
0.105000,0.000000
0.106667,0.000000
0.108333,0.000000
0.110000,0.000000
0.111667,0.000000
0.113333,0.000000
0.115000,0.000000
0.116667,0.000000
0.118333,0.000000
0.120000,0.000000
0.121667,0.000000
0.123333,0.000000
0.125000,0.000000
0.126667,0.000000
0.128333,0.000000
0.130000,0.000000
0.131667,0.000000
0.133333,0.000000
0.135000,0.000000
0.136667,0.000000
0.138333,0.000000
0.140000,0.000000
0.141667,0.000000
0.143333,0.000000
0.145000,0.000000
0.146667,0.000000
0.148333,0.000000
0.150000,0.000000
0.151667,0.000000
0.153333,0.000000
0.155000,0.000000
0.156667,0.000000
0.158333,0.000000
0.160000,0.000000
0.161667,0.000000
0.163333,0.000000
0.165000,0.000000
0.166667,0.000000
0.168333,0.000000
0.170000,0.000000
0.171667,0.000000
0.173333,0.000000
0.175000,0.000000
0.176667,0.000000
0.178333,0.000000
0.180000,0.000000
0.181667,0.000000
0.183333,0.000000
0.185000,0.000000
0.186667,0.000000
0.188333,0.000000
0.190000,0.000000
0.191667,0.000000
0.193333,0.000000
0.195000,0.000000
0.196667,0.000000
0.198333,0.000000
0.200000,0.000000
0.201667,0.000000
0.203333,0.000000
0.205000,0.000000
0.206667,0.000000
0.208333,0.000000
0.210000,0.000000
0.211667,0.000000
0.213333,0.000000
0.215000,0.000000
0.216667,0.000000
0.218333,0.000000
0.220000,0.000000
0.221667,0.000001
0.223333,0.000001
0.225000,0.000002
0.226667,0.000003
0.228333,0.000004
0.230000,0.000006
0.231667,0.000010
0.233333,0.000015
0.235000,0.000023
0.236667,0.000035
0.238333,0.000052
0.240000,0.000076
0.241667,0.000109
0.243333,0.000155
0.245000,0.000219
0.246667,0.000305
0.248333,0.000419
0.250000,0.000571
0.251667,0.000769
0.253333,0.001024
0.255000,0.001350
0.256667,0.001763
0.258333,0.002280
0.260000,0.002921
0.261667,0.003707
0.263333,0.004664
0.265000,0.005817
0.266667,0.007193
0.268333,0.008824
0.270000,0.010740
0.271667,0.012971
0.273333,0.015551
0.275000,0.018512
0.276667,0.021885
0.278333,0.025700
0.280000,0.029988
0.281667,0.034776
0.283333,0.040089
0.285000,0.045950
0.286667,0.052379
0.288333,0.059393
0.290000,0.067007
0.291667,0.075229
0.293333,0.084069
0.295000,0.093528
0.296667,0.103609
0.298333,0.114308
0.300000,0.125620
0.301667,0.137537
0.303333,0.150046
0.305000,0.163134
0.306667,0.176785
0.308333,0.190982
0.310000,0.205702
0.311667,0.220925
0.313333,0.236627
0.315000,0.252783
0.316667,0.269365
0.318333,0.286348
0.320000,0.303702
0.321667,0.321397
0.323333,0.339404
0.325000,0.357691
0.326667,0.376226
0.328333,0.394978
0.330000,0.413914
0.331667,0.433000
0.333333,0.452203
0.335000,0.471490
0.336667,0.490827
0.338333,0.510180
0.340000,0.529515
0.341667,0.548798
0.343333,0.567996
0.345000,0.587074
0.346667,0.605999
0.348333,0.624739
0.350000,0.643259
0.351667,0.661528
0.353333,0.679514
0.355000,0.697185
0.356667,0.714510
0.358333,0.731459
0.360000,0.748002
0.361667,0.764109
0.363333,0.779753
0.365000,0.794907
0.366667,0.809543
0.368333,0.823636
0.370000,0.837161
0.371667,0.850095
0.373333,0.862415
0.375000,0.874098
0.376667,0.885126
0.378333,0.895478
0.380000,0.905136
0.381667,0.914083
0.383333,0.922304
0.385000,0.929784
0.386667,0.936510
0.388333,0.942470
0.390000,0.947654
0.391667,0.952053
0.393333,0.955658
0.395000,0.958464
0.396667,0.960466
0.398333,0.961660
0.400000,0.962045
0.401667,0.961618
0.403333,0.960382
0.405000,0.958338
0.406667,0.955490
0.408333,0.951843
0.410000,0.947403
0.411667,0.942179
0.413333,0.936178
0.415000,0.929413
0.416667,0.921894
0.418333,0.913635
0.420000,0.904650
0.421667,0.894955
0.423333,0.884568
0.425000,0.873506
0.426667,0.861788
0.428333,0.849436
0.430000,0.836471
0.431667,0.822915
0.433333,0.808793
0.435000,0.794130
0.436667,0.778950
0.438333,0.763281
0.440000,0.747150
0.441667,0.730586
0.443333,0.713617
0.445000,0.696273
0.446667,0.678585
0.448333,0.660583
0.450000,0.642300
0.451667,0.623767
0.453333,0.605017
0.455000,0.586083
0.456667,0.566998
0.458333,0.547795
0.460000,0.528509
0.461667,0.509172
0.463333,0.489819
0.465000,0.470485
0.466667,0.451202
0.468333,0.432004
0.470000,0.412926
0.471667,0.394000
0.473333,0.375260
0.475000,0.356739
0.476667,0.338469
0.478333,0.320482
0.480000,0.302808
0.481667,0.285480
0.483333,0.268526
0.485000,0.251975
0.486667,0.235856
0.488333,0.220195
0.490000,0.205017
0.491667,0.190348
0.493333,0.176209
0.495000,0.162620
0.496667,0.149600
0.498333,0.137166
0.500000,0.125331
0.501667,0.114106
0.503333,0.103498
0.505000,0.093514
0.506667,0.084154
0.508333,0.075416
0.510000,0.067295
0.511667,0.059783
0.513333,0.052866
0.515000,0.046529
0.516667,0.040754
0.518333,0.035517
0.520000,0.030796
0.521667,0.026562
0.523333,0.022788
0.525000,0.019443
0.526667,0.016497
0.528333,0.013918
0.530000,0.011674
0.531667,0.009734
0.533333,0.008068
0.535000,0.006647
0.536667,0.005442
0.538333,0.004428
0.540000,0.003581
0.541667,0.002877
0.543333,0.002297
0.545000,0.001822
0.546667,0.001436
0.548333,0.001124
0.550000,0.000874
0.551667,0.000675
0.553333,0.000518
0.555000,0.000395
0.556667,0.000299
0.558333,0.000225
0.560000,0.000168
0.561667,0.000125
0.563333,0.000092
0.565000,0.000067
0.566667,0.000049
0.568333,0.000035
0.570000,0.000025
0.571667,0.000018
0.573333,0.000013
0.575000,0.000009
0.576667,0.000006
0.578333,0.000004
0.580000,0.000003
0.581667,0.000002
0.583333,0.000001
0.585000,0.000001
0.586667,0.000001
0.588333,0.000000
